District,Crop_Production_Rate_Yearly,Crop_Production_Rate_Monthly,Crop_Production_Rate_Weekly,Major_Crops,Avg_Rainfall_mm,Soil_Type,Irrigation_Source,Fertilizer_Usage_kg_per_ha,Avg_Temperature_C,Mandi_Price_Rupees_per_kg,Water_Requirement_L_per_ha,Pest_Incidence,Farmer_Count,pH_Level,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Nitrogen_kg_per_ha,Profit_Share_Percentage,Organic_Matter_Percentage,Sand_Percentage,Silt_Percentage,Clay_Percentage,Electrical_Conductivity_dS_per_m,Cation_Exchange_Capacity_meq_per_100g,Zinc_ppm,Iron_ppm,Manganese_ppm,Copper_ppm,Budget_per_Acre_Rs
Krishnagiri,33473,8274,1573,Paddy,1260,Black,Rain-fed,193,28,24,4389,Low,8144,6.68,48,43,40,47.94,2.17,32,13,16,0.36,28.45,7.75,13.62,9.02,3.09,45000.0
Madurai,66357,5003,1201,Groundnut,710,Black,Tanks,149,31,21,4984,Low,25024,5.58,28,52,50,29.38,2.87,47,15,36,2.14,33.95,8.41,18.24,10.42,3.88,35000.0
Mayiladuthurai,93385,5721,2142,Paddy,1388,Laterite,Rain-fed,196,33,25,4201,High,22605,7.83,21,54,38,22.43,2.43,34,15,24,1.49,25.63,3.09,15.03,7.81,3.76,45000.0
Nagapattinam,73264,4186,1978,Groundnut,708,Mixed,Tanks,153,27,21,4899,Medium,12348,5.93,49,33,63,15.43,3.84,38,15,13,2.15,38.63,1.94,10.82,12.11,4.71,35000.0
Kanyakumari,40257,2210,1562,Maize,769,Black,Rain-fed,108,31,25,5103,Low,9326,4.92,12,26,53,38.48,2.51,21,17,19,0.85,34.06,8.52,36.01,3.88,1.86,40000.0
Namakkal,51029,4783,466,Maize,712,Alluvial,Tanks,107,34,19,5326,Low,30162,5.39,27,24,49,46.05,2.71,56,37,24,0.18,17.54,9.21,49.18,13.43,4.26,40000.0
Perambalur,41299,6982,772,Paddy,1121,Red,Rain-fed,178,26,25,4760,Low,7327,6.73,37,39,57,46.05,5.98,36,29,17,2.02,7.89,1.36,3.27,10.63,2.57,45000.0
Pudukkottai,43206,2281,1633,Groundnut,800,Laterite,Canals,132,26,20,4117,Medium,27406,6.66,14,24,36,41.82,1.87,25,20,40,0.42,28.75,1.64,29.13,1.18,2.33,35000.0
Ramanathapuram,74040,3013,1051,Maize,1237,Black,Canals,114,31,16,5291,Medium,5750,6.72,40,39,45,27.39,4.63,31,18,36,0.93,16.68,9.39,18.39,9.07,4.84,40000.0
Ranipet,23248,2651,2056,Groundnut,806,Laterite,Tube Wells,104,28,17,5238,Medium,26356,8.0,30,50,30,28.87,3.27,25,27,14,0.99,25.38,3.25,12.36,7.3,4.47,35000.0
Salem,43509,5411,1652,Groundnut,1401,Laterite,Tanks,195,28,15,4052,Medium,10305,7.72,31,23,64,38.12,5.54,55,11,11,0.65,31.22,2.69,2.47,14.54,3.28,35000.0
Sivagangai,63540,4150,852,Maize,1156,Alluvial,Wells,109,26,11,5472,Low,24602,5.82,16,26,59,33.51,4.11,22,39,19,0.93,29.51,4.21,23.57,5.28,1.39,40000.0
Tenkasi,73964,3532,1709,Tapioca,1059,Alluvial,Tube Wells,156,34,21,4306,Medium,7937,5.72,42,29,42,45.98,1.65,43,38,17,0.23,14.67,5.25,24.58,11.68,3.31,40000.0
Thanjavur,52527,1555,1558,Sugarcane,924,Black,Tanks,197,29,23,4723,Medium,18622,7.76,45,34,30,42.06,5.63,30,24,12,0.6,34.27,8.19,37.22,7.93,3.27,65000.0
Theni,54970,3636,613,Sugarcane,1442,Black,Rain-fed,147,27,24,4640,High,27368,6.7,38,40,64,14.97,0.59,42,10,29,1.71,18.78,7.94,8.28,11.91,4.1,65000.0
Thiruvallur,40866,4642,1416,Groundnut,990,Laterite,Rain-fed,177,27,24,4776,High,33949,6.98,11,23,66,48.36,0.68,50,19,14,2.34,39.99,7.49,32.0,3.06,0.58,35000.0
Thiruvarur,34168,3429,688,Sugarcane,957,Laterite,Rain-fed,180,31,20,5376,Low,31638,7.45,15,32,60,43.78,2.42,56,24,24,0.9,39.95,2.57,35.39,8.55,2.23,65000.0
Thoothukudi,70140,5159,1078,Cotton,897,Laterite,Wells,103,33,22,4235,Low,27471,5.55,41,45,38,23.22,5.09,40,16,19,1.65,20.14,3.81,8.86,8.56,3.35,55000.0
Tiruchirappalli,25075,7674,1926,Maize,734,Alluvial,Wells,122,31,24,5032,Low,29323,7.92,49,54,76,49.21,2.4,57,31,17,1.32,31.86,2.37,20.68,14.43,0.23,40000.0
Tirunelveli,81694,3687,559,Sugarcane,724,Laterite,Rain-fed,141,30,24,5322,Low,7425,8.48,49,48,30,37.3,2.32,56,13,35,0.17,10.05,9.34,17.7,1.45,1.67,65000.0
Tirupathur,49154,4200,887,Tapioca,1334,Mixed,Tube Wells,113,28,24,4593,Medium,20390,6.71,46,27,70,19.63,4.85,23,19,12,0.17,33.86,8.55,26.36,8.12,4.56,40000.0
Tiruppur,46158,3973,1110,Sugarcane,794,Black,Tanks,189,31,14,4598,High,14782,6.16,22,40,59,22.95,1.82,21,33,15,2.03,5.21,5.94,28.7,11.33,2.49,65000.0
Tiruvannamalai,80332,6271,1054,Groundnut,758,Black,Canals,157,34,14,4534,Medium,17390,7.96,21,60,78,38.23,3.08,38,40,23,0.86,14.02,7.29,4.89,4.55,1.12,35000.0
The Nilgiris,65830,7421,743,Paddy,1308,Red,Rain-fed,148,29,22,4326,High,33350,4.56,29,45,44,29.62,3.12,50,38,23,2.19,38.9,8.89,36.43,2.91,3.52,45000.0
Vellore,60001,6193,1702,Sugarcane,1372,Mixed,Tube Wells,117,30,23,4174,Medium,24926,8.2,21,54,65,39.78,4.87,58,33,23,1.82,10.95,3.6,29.89,1.83,0.83,65000.0
Viluppuram,49831,1593,581,Paddy,922,Laterite,Tube Wells,181,30,10,5117,Low,6339,6.29,12,58,75,40.22,0.6,36,38,21,1.32,35.56,4.73,15.09,14.33,2.11,45000.0
Virudhunagar,49219,3642,2082,Maize,1313,Alluvial,Tube Wells,173,35,14,4302,Medium,33200,5.98,20,24,40,44.98,1.6,25,38,22,1.51,39.24,7.49,47.04,13.42,1.43,40000.0
Ariyalur,23101,6854,1851,Paddy,1353,Red,Wells,171,26,20,5229,Low,10214,4.55,28,22,60,22.03,2.58,28,26,37,2.22,35.76,4.11,9.56,2.02,2.97,45000.0
Chengalpattu,45313,4445,1772,Sugarcane,824,Alluvial,Rain-fed,125,35,22,5368,Low,24072,4.5,45,57,80,49.71,4.28,35,16,11,1.61,30.81,2.47,44.31,2.81,3.38,65000.0
Chennai,72227,7175,1708,Tapioca,1425,Alluvial,Tanks,125,35,14,5180,High,29545,4.68,24,60,60,12.85,3.15,29,35,15,1.18,18.15,7.43,49.16,6.1,0.38,40000.0
Coimbatore,63025,3435,1893,Cotton,822,Laterite,Canals,132,35,22,5105,High,22396,5.88,38,48,60,26.45,3.76,40,22,17,0.61,23.84,5.01,41.21,9.48,3.97,55000.0
Cuddalore,56517,2008,1087,Tapioca,788,Laterite,Tanks,162,35,21,4976,Medium,12148,6.06,29,48,59,40.24,1.38,39,27,16,0.72,16.56,5.82,3.1,6.89,3.41,40000.0
Dharmapuri,29099,6970,1314,Tapioca,1319,Laterite,Tube Wells,156,30,10,4588,High,8910,7.22,27,59,77,30.69,2.79,46,24,22,2.0,22.28,1.39,21.67,6.12,4.14,40000.0
Dindigul,56585,2468,423,Cotton,833,Mixed,Rain-fed,186,33,23,5005,Low,30728,4.91,27,48,78,21.5,2.54,20,19,12,0.81,5.33,1.03,22.34,3.65,3.09,55000.0
Erode,66025,5312,943,Maize,1084,Mixed,Wells,136,33,15,5069,High,5955,8.05,14,54,37,19.78,3.51,25,24,38,0.42,7.42,5.24,31.29,2.4,0.42,40000.0
Kallakurichi,86768,4013,829,Sugarcane,1372,Mixed,Wells,128,33,14,4156,High,13639,7.61,41,23,37,39.95,4.2,55,25,23,0.53,25.58,5.46,3.49,3.58,2.39,65000.0
Kanchipuram,72386,2808,911,Maize,1482,Red,Tube Wells,125,31,15,4308,Low,13124,5.92,20,29,78,44.38,0.57,58,33,40,1.79,31.67,2.63,32.54,2.43,1.71,40000.0
Karur,90282,4821,1819,Groundnut,1363,Alluvial,Wells,194,28,16,4359,High,32595,5.31,24,34,62,44.73,1.07,25,37,21,1.24,25.97,6.16,39.34,7.6,3.33,35000.0
Krishnagiri,63404,7120,538,Groundnut,1279,Laterite,Tanks,120,31,13,4591,High,29309,8.14,27,60,48,36.85,1.94,27,25,20,1.27,17.13,8.21,22.89,2.14,3.3,35000.0
Madurai,23617,5616,1117,Paddy,889,Laterite,Wells,155,32,10,5026,High,22734,8.3,32,39,38,17.83,0.82,33,18,26,0.71,6.58,8.49,44.01,11.9,1.02,45000.0
Mayiladuthurai,35118,8832,925,Tapioca,813,Laterite,Rain-fed,167,32,22,5273,High,31908,6.05,37,60,50,30.49,5.75,39,10,10,1.97,36.27,3.05,14.68,0.75,3.02,40000.0
Nagapattinam,54237,8772,2011,Maize,1412,Mixed,Tanks,124,29,25,4086,High,14040,4.89,31,37,38,18.83,5.75,34,24,23,0.76,15.54,7.4,10.28,3.08,4.59,40000.0
Kanyakumari,43405,7263,621,Cotton,888,Mixed,Tanks,111,32,14,4643,High,7191,5.54,22,42,74,38.8,2.1,36,10,34,1.04,20.8,7.62,45.41,4.05,3.11,55000.0
Namakkal,96099,7806,1875,Maize,959,Mixed,Wells,174,27,18,4777,Medium,25319,6.76,42,47,76,13.38,2.27,52,17,14,2.01,6.52,9.67,30.8,2.54,3.68,40000.0
Perambalur,54795,4047,402,Paddy,1001,Laterite,Rain-fed,103,27,20,4960,High,17684,7.8,34,52,60,40.79,4.12,43,22,18,0.69,37.67,1.18,41.54,12.91,0.57,45000.0
Pudukkottai,25014,7154,498,Sugarcane,1178,Black,Tube Wells,180,31,16,4082,Low,17841,8.41,46,38,71,44.01,5.98,50,22,24,0.83,28.77,6.96,49.43,8.13,1.71,65000.0
Ramanathapuram,34208,2461,1190,Tapioca,1376,Alluvial,Tanks,185,29,10,5038,Medium,10315,7.16,26,36,62,15.65,2.13,24,23,20,0.78,13.0,1.34,11.43,8.5,1.39,40000.0
Ranipet,98193,6732,1297,Tapioca,777,Mixed,Canals,112,25,25,4890,Low,9942,8.09,38,46,54,31.97,5.96,32,37,20,0.23,22.15,6.29,19.3,13.16,2.75,40000.0
Salem,76959,3916,1900,Maize,1354,Alluvial,Tanks,126,33,22,4957,High,23595,5.68,46,50,42,25.09,3.29,33,34,20,1.14,31.56,6.57,4.72,8.23,4.07,40000.0
Sivagangai,65309,4510,1259,Paddy,1164,Laterite,Wells,104,30,15,4053,High,7659,6.3,10,56,30,23.34,4.59,58,21,14,1.03,38.36,6.27,25.13,9.36,2.86,45000.0
Tenkasi,61114,6535,740,Groundnut,983,Mixed,Tanks,117,32,19,4090,Low,31262,4.71,20,38,79,48.67,0.7,59,22,23,1.38,36.63,6.73,41.89,2.92,3.12,35000.0
Thanjavur,77199,3309,1247,Cotton,1487,Red,Canals,100,35,18,5227,Medium,33463,7.54,32,21,68,34.42,3.6,47,10,24,1.33,31.0,6.87,40.49,6.51,0.69,55000.0
Theni,99457,3295,1409,Sugarcane,1137,Mixed,Canals,146,27,17,4100,Low,11652,8.16,28,34,33,18.34,5.55,31,10,40,0.43,36.77,2.75,22.75,0.85,3.17,65000.0
Thiruvallur,87033,2594,1175,Maize,1408,Alluvial,Canals,199,35,16,4005,Low,8883,8.15,44,47,30,40.36,5.14,49,31,14,0.81,29.42,7.82,12.75,4.29,2.62,40000.0
Thiruvarur,35157,5417,1119,Maize,1383,Red,Tube Wells,152,26,25,5355,Medium,18755,7.11,33,47,58,35.71,3.62,47,40,38,1.14,7.01,4.25,25.8,6.03,1.75,40000.0
Thoothukudi,70488,2754,1518,Cotton,1488,Laterite,Canals,172,31,25,4535,High,20953,6.62,24,39,35,30.15,3.23,54,24,11,2.4,29.19,8.68,39.48,2.39,2.63,55000.0
Tiruchirappalli,95574,5227,1168,Groundnut,1488,Laterite,Tube Wells,169,34,23,4503,High,5458,5.15,34,21,39,24.75,3.97,46,22,31,1.71,28.31,9.21,34.68,7.08,2.73,35000.0
Tirunelveli,44914,7625,607,Maize,1031,Alluvial,Rain-fed,109,35,23,4773,High,21419,8.01,18,24,34,46.26,1.8,25,40,17,0.97,21.15,3.67,14.29,13.21,2.47,40000.0
Tirupathur,53386,6462,2097,Cotton,963,Laterite,Canals,143,31,15,4707,Low,6830,7.71,36,47,33,46.15,3.31,31,32,22,0.98,36.51,7.13,15.35,1.8,2.98,55000.0
Tiruppur,25817,4560,1381,Tapioca,865,Mixed,Canals,123,31,25,5303,High,17022,4.62,45,33,39,29.59,1.24,51,14,30,0.6,6.14,2.93,7.1,13.38,0.31,40000.0
Tiruvannamalai,77154,4906,2015,Tapioca,1499,Red,Tanks,187,31,11,4699,Medium,18299,7.02,46,28,75,24.01,2.58,35,15,38,1.21,27.23,6.01,49.7,1.99,0.32,40000.0
The Nilgiris,20221,7250,2169,Cotton,775,Laterite,Rain-fed,193,28,21,4181,High,23257,5.32,12,59,47,25.04,2.65,38,37,25,0.65,13.45,7.74,29.08,8.83,4.36,55000.0
Vellore,88146,5999,1583,Sugarcane,983,Laterite,Wells,193,35,13,4740,High,33993,5.99,27,40,39,28.99,0.57,28,27,33,2.23,29.54,6.04,5.1,3.77,2.16,65000.0
Viluppuram,90575,8977,1733,Tapioca,1495,Alluvial,Canals,182,25,12,5482,Medium,17077,7.25,39,50,42,45.66,4.89,27,37,11,2.49,19.82,1.1,7.36,14.05,2.81,40000.0
Virudhunagar,45825,5357,1952,Cotton,763,Black,Wells,167,34,20,5056,Medium,32565,4.69,21,33,48,25.49,4.75,27,14,14,0.94,28.55,6.25,11.27,0.77,3.92,55000.0
Ariyalur,67739,7704,1807,Cotton,1091,Red,Rain-fed,163,28,25,4563,High,18686,5.59,22,51,73,26.6,1.87,29,13,24,1.66,8.7,3.7,34.66,13.53,4.85,55000.0
Chengalpattu,76531,5903,861,Tapioca,1097,Black,Tube Wells,124,27,19,5085,High,32572,5.68,43,52,48,12.06,1.71,21,37,33,0.8,8.42,8.94,29.93,1.51,1.8,40000.0
Chennai,29171,8069,733,Cotton,1040,Laterite,Wells,126,34,14,4307,Medium,34734,8.3,37,33,61,17.77,4.19,30,40,20,2.03,28.23,4.31,3.04,9.23,2.75,55000.0
Coimbatore,63279,6940,1324,Maize,761,Red,Wells,173,34,17,4829,High,17886,5.51,27,27,43,26.9,0.65,59,15,13,0.15,5.44,9.99,42.15,12.66,0.21,40000.0
Cuddalore,61145,8263,550,Cotton,964,Laterite,Rain-fed,160,33,25,4773,Low,20089,6.91,14,42,73,20.15,3.69,25,35,10,0.34,22.06,1.09,24.6,11.49,4.44,55000.0
Dharmapuri,36334,3289,2036,Cotton,971,Black,Rain-fed,164,26,16,5153,High,29678,8.25,10,57,33,37.2,2.1,33,31,10,0.39,26.63,4.24,10.33,1.43,3.32,55000.0
Dindigul,59363,7741,2132,Cotton,882,Mixed,Canals,145,34,23,4251,Low,33737,6.07,10,51,52,18.45,2.22,52,30,38,2.23,33.07,4.21,31.15,6.26,4.94,55000.0
Erode,86469,3527,468,Cotton,1151,Black,Wells,145,34,25,4482,Low,34193,5.6,48,43,77,33.81,3.88,25,27,40,0.71,31.1,7.25,18.52,9.74,4.16,55000.0
Kallakurichi,60538,7073,1003,Groundnut,771,Mixed,Canals,179,31,10,4845,Medium,6329,5.87,31,48,72,26.12,3.9,34,14,21,1.22,18.49,1.62,6.76,2.76,2.83,35000.0
Kanchipuram,73528,7682,441,Maize,1203,Red,Rain-fed,171,25,19,4305,High,17555,6.19,24,30,60,41.24,1.74,22,13,38,2.16,14.39,9.91,31.11,8.38,3.34,40000.0
Karur,62753,6380,1052,Cotton,905,Mixed,Tube Wells,117,30,15,4551,Medium,12663,8.11,42,58,74,25.1,0.6,25,28,33,0.71,21.85,3.91,18.74,0.76,1.84,55000.0
Krishnagiri,72743,8652,934,Paddy,1324,Laterite,Canals,108,34,20,5047,High,27951,6.1,31,29,72,39.55,4.3,38,36,37,2.45,34.51,1.23,31.43,3.62,4.03,45000.0
Madurai,58752,7950,614,Paddy,1102,Black,Wells,156,28,19,4466,Low,17910,8.17,50,48,58,19.78,4.43,57,39,36,1.85,22.07,2.96,27.45,7.01,0.49,45000.0
Mayiladuthurai,92667,2170,551,Paddy,882,Red,Rain-fed,154,27,23,4658,Medium,10012,5.16,30,34,60,14.2,1.08,39,16,39,1.55,15.1,4.73,25.06,0.96,4.53,45000.0
Nagapattinam,36683,5804,1100,Tapioca,1360,Laterite,Tanks,180,34,13,4756,Medium,7756,8.26,40,26,36,12.88,5.95,55,37,31,0.2,11.27,4.89,26.46,0.93,1.5,40000.0
Kanyakumari,45144,5159,748,Tapioca,1203,Laterite,Tube Wells,148,35,14,5354,High,23688,6.01,27,52,78,48.52,3.62,22,37,39,1.91,22.6,7.54,11.99,8.7,1.13,40000.0
Namakkal,75108,5826,1168,Sugarcane,811,Red,Rain-fed,109,32,19,4100,High,21781,7.65,21,45,69,17.85,4.04,30,26,23,0.25,37.26,9.62,24.96,13.37,3.84,65000.0
Perambalur,69695,7265,729,Groundnut,847,Laterite,Rain-fed,172,35,20,4749,High,31351,5.0,15,55,80,24.83,2.23,59,23,27,2.1,35.59,7.27,4.21,13.37,3.36,35000.0
Pudukkottai,42810,4463,1899,Paddy,1253,Black,Canals,110,26,21,4635,Medium,17901,5.79,35,33,75,37.19,1.99,53,37,25,1.57,35.42,6.66,27.15,1.82,1.68,45000.0
Ramanathapuram,94593,2139,553,Groundnut,1487,Mixed,Rain-fed,116,30,14,4348,Low,16863,5.88,27,22,57,13.55,4.65,58,40,11,2.47,31.61,8.78,11.44,9.15,1.68,35000.0
Ranipet,59446,6121,1520,Paddy,1141,Black,Wells,200,25,21,5181,Medium,16851,6.89,25,28,37,38.56,1.34,23,27,23,0.63,31.41,8.47,38.2,0.57,0.82,45000.0
Salem,73225,2419,590,Sugarcane,923,Red,Tube Wells,166,34,25,4768,Medium,6980,7.99,30,56,73,39.71,3.91,55,15,28,2.12,22.15,5.26,37.98,13.05,4.55,65000.0
Sivagangai,91819,2005,1092,Maize,1328,Alluvial,Rain-fed,138,35,12,5494,Low,14935,5.05,47,25,67,11.91,4.31,54,25,10,1.88,36.47,1.36,41.59,11.46,0.73,40000.0
Tenkasi,20053,8289,1616,Groundnut,1358,Laterite,Tube Wells,112,31,10,4085,Low,24045,8.23,48,41,67,45.31,2.48,53,27,20,1.22,16.85,7.54,29.82,6.13,1.78,35000.0
Thanjavur,59829,5986,1656,Maize,808,Black,Tube Wells,115,33,24,5131,Low,14402,7.57,11,55,70,43.53,3.37,24,35,24,1.16,8.16,3.96,8.79,6.12,4.11,40000.0
Theni,57606,8896,1388,Sugarcane,1152,Black,Canals,163,33,21,5462,Medium,30519,5.24,12,43,60,45.44,4.89,57,18,40,0.44,17.43,8.7,47.45,13.05,3.52,65000.0
Thiruvallur,47549,5640,1842,Groundnut,1432,Black,Tanks,129,28,23,4080,Medium,30004,7.92,47,39,36,22.06,1.36,44,34,12,2.39,6.83,7.66,25.06,3.93,1.93,35000.0
Thiruvarur,76346,3156,463,Maize,965,Black,Tube Wells,106,27,17,5280,Low,30664,5.0,24,30,54,44.66,2.35,46,24,34,0.97,36.75,8.8,13.12,6.34,3.22,40000.0
Thoothukudi,96019,6191,1283,Sugarcane,805,Mixed,Rain-fed,176,32,16,4962,Medium,13347,4.53,40,34,53,28.44,2.99,39,14,12,2.35,18.69,7.03,41.9,14.07,2.55,65000.0
Tiruchirappalli,99516,5896,1738,Cotton,735,Laterite,Tanks,169,30,20,4108,Medium,14846,5.44,44,34,75,45.45,2.3,43,23,15,2.01,37.74,5.03,22.75,7.68,3.54,55000.0
Tirunelveli,62237,2727,737,Groundnut,774,Alluvial,Canals,142,28,17,4832,High,26496,8.23,14,31,69,16.92,2.72,30,18,12,1.8,7.46,6.5,43.3,13.47,2.78,35000.0
Tirupathur,80946,2847,1643,Maize,772,Laterite,Wells,102,27,20,4425,Medium,6185,7.09,26,39,57,26.54,0.52,32,32,32,0.81,17.55,6.87,10.43,2.77,2.18,40000.0
Tiruppur,77905,4187,1289,Sugarcane,1285,Laterite,Wells,128,32,25,4492,Low,19449,5.68,37,25,52,15.44,1.2,27,35,26,0.4,21.38,2.84,39.44,9.68,3.04,65000.0
Tiruvannamalai,77954,8499,721,Cotton,1445,Red,Wells,137,28,18,4840,Low,19138,7.67,13,44,79,19.8,0.71,56,16,12,1.05,29.24,4.45,31.93,4.59,0.16,55000.0
The Nilgiris,48010,5762,509,Groundnut,956,Black,Tube Wells,132,30,20,5233,Low,17829,5.53,29,43,55,25.7,1.73,26,29,37,0.24,17.77,9.34,6.69,1.2,0.61,35000.0
Vellore,87000,5119,607,Cotton,1495,Black,Tanks,149,27,20,5257,Medium,11433,5.73,41,24,55,31.53,5.75,56,16,22,0.42,19.56,5.09,2.18,10.84,3.5,55000.0
Viluppuram,82021,2452,1078,Paddy,1156,Mixed,Canals,190,29,16,5143,Medium,27441,8.1,50,55,79,37.86,0.71,57,16,24,0.24,19.57,6.47,35.44,14.36,2.85,45000.0
Virudhunagar,42241,7072,820,Groundnut,719,Alluvial,Tanks,145,26,14,4942,Low,15032,5.71,36,42,59,30.38,2.6,22,37,37,2.08,35.09,2.05,34.29,0.6,0.73,35000.0
Ariyalur,31114,3182,789,Sugarcane,1209,Alluvial,Tube Wells,108,25,20,5265,Low,24813,5.65,16,60,56,46.07,3.07,52,10,32,1.9,19.51,8.12,32.66,11.17,1.13,65000.0
Chengalpattu,57196,7372,1238,Sugarcane,852,Red,Rain-fed,120,28,17,4727,High,30238,7.64,28,36,48,32.17,5.19,29,39,29,2.45,39.5,3.51,45.57,13.49,4.3,65000.0
Chennai,87561,6277,1827,Groundnut,1368,Red,Canals,136,34,17,4034,High,11178,5.99,24,54,32,45.46,5.87,24,19,16,1.96,36.2,7.62,31.43,10.5,1.44,35000.0
Coimbatore,63933,5504,1534,Paddy,1355,Red,Tanks,109,32,17,5278,High,28503,5.39,39,35,68,29.54,1.06,33,33,35,0.81,39.31,4.23,7.66,13.37,1.02,45000.0
Cuddalore,32240,2244,1878,Groundnut,700,Black,Tanks,168,32,25,5303,High,12363,6.25,42,57,69,29.84,2.48,32,34,15,1.72,24.8,4.88,35.32,5.59,3.14,35000.0
Dharmapuri,50784,8863,1894,Maize,738,Black,Wells,173,28,25,5076,High,23597,5.18,43,47,76,41.34,4.13,40,21,17,1.53,19.72,7.12,29.47,3.99,4.91,40000.0
Dindigul,60687,5680,1506,Sugarcane,1380,Mixed,Tanks,130,35,10,4378,High,18658,7.89,26,44,73,48.65,3.35,45,30,21,2.34,31.12,3.68,16.43,3.5,1.5,65000.0
Erode,49444,5149,943,Tapioca,1099,Alluvial,Tanks,166,34,20,4257,Medium,16265,7.77,27,21,54,44.35,4.55,55,28,35,0.72,18.58,3.33,45.25,0.89,2.47,40000.0
Kallakurichi,46100,8124,1752,Cotton,972,Alluvial,Tube Wells,178,32,13,4132,High,5279,6.64,23,49,63,34.53,5.04,33,36,35,0.74,19.26,6.13,3.89,14.34,0.28,55000.0
Kanchipuram,39313,1955,976,Sugarcane,855,Red,Canals,164,28,22,4124,High,14905,5.75,39,33,45,37.37,1.06,26,23,16,0.47,5.5,7.29,5.27,10.8,0.76,65000.0
Karur,23201,5214,1009,Paddy,1416,Laterite,Rain-fed,139,27,14,4548,Low,26208,6.46,13,39,42,36.0,3.34,48,28,28,1.44,24.9,0.85,7.13,6.61,4.56,45000.0
Krishnagiri,26057,2580,886,Tapioca,1037,Alluvial,Wells,151,32,20,4096,High,24808,4.83,35,38,48,47.64,3.96,29,15,35,0.96,17.97,1.35,9.47,5.22,0.67,40000.0
Madurai,52092,5704,596,Groundnut,1100,Mixed,Tube Wells,179,33,12,4250,Medium,17351,5.05,34,44,79,43.57,4.75,34,31,17,1.75,9.18,2.23,24.18,1.49,3.49,35000.0
Mayiladuthurai,82277,4903,501,Sugarcane,1288,Black,Tanks,107,35,25,4802,Low,10481,5.83,15,50,47,38.51,3.29,47,34,34,0.68,19.47,6.08,30.78,5.03,2.03,65000.0
Nagapattinam,29545,5242,1204,Maize,703,Alluvial,Rain-fed,169,26,24,4517,Low,19864,5.89,44,36,31,15.53,5.5,60,11,32,0.32,35.23,6.25,6.53,12.59,3.29,40000.0
Kanyakumari,79692,6119,1570,Tapioca,1227,Mixed,Canals,189,34,18,5082,High,11218,4.91,38,44,31,24.17,2.35,45,38,39,2.14,7.51,6.29,22.86,4.45,4.53,40000.0
Namakkal,74321,1972,1525,Paddy,1424,Black,Wells,114,30,12,4254,Medium,9242,7.31,32,31,69,17.61,2.77,51,22,17,1.52,12.25,6.21,19.15,14.11,1.61,45000.0
Perambalur,95454,6077,2120,Paddy,1489,Laterite,Rain-fed,174,27,24,5138,Low,32738,7.95,36,27,75,40.0,2.87,23,22,10,0.74,16.7,1.41,18.75,7.54,1.42,45000.0
Pudukkottai,45485,5287,1405,Tapioca,1202,Red,Wells,160,28,22,5083,Medium,10535,6.88,26,42,53,41.49,4.4,39,31,30,1.09,39.45,3.28,48.91,1.01,2.18,40000.0
Ramanathapuram,70328,7011,714,Cotton,1189,Red,Canals,133,32,16,4010,High,17626,4.51,36,60,39,45.13,4.91,24,40,37,0.73,11.56,5.72,33.37,13.47,3.15,55000.0
Ranipet,84799,8110,511,Sugarcane,1146,Red,Tanks,183,26,18,4535,Low,9413,5.5,39,56,40,44.77,5.17,50,22,21,2.32,14.13,9.75,3.32,10.15,1.86,65000.0
Salem,72383,4024,1138,Groundnut,1113,Alluvial,Canals,103,25,14,5281,Low,19216,5.01,18,42,48,48.49,1.7,25,11,18,0.84,18.0,9.44,11.05,12.25,4.81,35000.0
Sivagangai,51979,7425,407,Paddy,1445,Mixed,Rain-fed,104,25,21,4529,Low,33903,5.24,34,54,38,41.36,1.2,20,38,26,1.78,7.61,0.59,13.06,14.24,3.48,45000.0
Tenkasi,39342,1678,1275,Maize,1499,Red,Wells,143,35,11,5318,Medium,32329,4.87,24,38,73,29.05,3.4,33,18,19,2.25,10.2,6.74,41.05,1.96,4.5,40000.0
Thanjavur,20726,4743,579,Maize,771,Black,Tanks,153,35,25,4363,Low,8849,7.98,35,25,54,28.63,2.12,55,27,33,1.81,18.82,5.95,37.97,3.71,4.2,40000.0
Theni,33970,3584,1003,Groundnut,1253,Mixed,Tanks,133,31,17,5121,High,7898,8.22,45,60,73,32.3,2.01,56,21,28,0.95,19.14,2.56,4.86,2.32,2.71,35000.0
Thiruvallur,75724,8188,2087,Maize,931,Mixed,Tanks,125,33,17,4970,Medium,14683,7.62,14,51,75,21.26,3.99,25,17,32,1.2,25.77,7.11,19.64,9.08,2.47,40000.0
Thiruvarur,48683,1524,1755,Cotton,703,Alluvial,Canals,142,32,10,5020,High,9812,5.45,33,37,53,20.61,0.69,59,13,20,1.32,7.85,1.5,47.7,6.93,2.34,55000.0
Thoothukudi,43053,7609,1680,Groundnut,1093,Alluvial,Canals,197,31,20,4509,Low,13379,7.62,29,59,42,16.01,3.56,27,15,40,0.38,10.09,9.82,49.23,1.3,1.29,35000.0
Tiruchirappalli,87889,3285,1629,Maize,1405,Laterite,Tanks,107,26,21,5056,Low,12092,5.07,15,27,79,48.33,4.9,52,16,12,1.18,29.82,4.22,34.64,13.04,4.5,40000.0
Tirunelveli,80889,6237,1383,Cotton,1498,Laterite,Tube Wells,117,31,25,4397,Low,30750,8.38,43,47,59,29.2,2.79,50,18,37,0.56,36.62,5.93,33.02,9.0,0.37,55000.0
