District,Crop_Production_Rate_Yearly,Crop_Production_Rate_Monthly,Crop_Production_Rate_Weekly,Major_Crops,Avg_Rainfall_mm,Soil_Type,Irrigation_Source,Fertilizer_Usage_kg_per_ha,Avg_Temperature_C,Mandi_Price_Rupees_per_kg,Water_Requirement_L_per_ha,Pest_Incidence,Farmer_Count,pH_Level,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Nitrogen_kg_per_ha,Profit_Share_Percentage,Organic_Matter_Percentage,Sand_Percentage,Silt_Percentage,Clay_Percentage,Electrical_Conductivity_dS_per_m,Cation_Exchange_Capacity_meq_per_100g,Zinc_ppm,Iron_ppm,Manganese_ppm,Copper_ppm
Moga,114266,4165,1317,Cotton,619,Sandy Loam,Tube Wells,162,35,18,5330,High,21632,8.48,44,57,63,25.72,2.51,60,25,30,0.54,17.97,1.68,16.07,2.52,2.23
Muktsar Sahib,98320,2296,800,Wheat,602,Sandy Loam,Canals,172,15,34,4974,Low,8919,7.03,21,39,50,42.09,2.4,40,20,13,2.38,26.9,5.27,11.9,5.73,2.35
Pathankot,31643,2539,2464,Sugarcane,1046,Alluvial,Canals,148,30,34,4759,High,15199,8.18,18,52,84,48.5,0.76,53,40,40,1.59,18.51,4.39,11.18,6.51,1.64
Patiala,60289,4399,2104,Rice,605,Loam,Tanks,240,34,25,5949,High,29949,8.35,39,54,41,47.26,1.52,36,41,31,1.13,20.73,1.39,7.58,5.26,1.74
Rupnagar,79392,6135,1970,Sugarcane,1047,Alluvial,Tube Wells,194,19,22,5117,High,22714,8.43,37,58,75,25.22,1.9,47,21,24,0.78,17.2,2.87,14.0,1.24,0.97
Sahibzada Ajit Singh Nagar,119407,7113,966,Cotton,1139,Alluvial,Canals,196,32,33,4967,High,25700,8.66,53,45,95,31.42,1.85,60,31,36,0.18,22.43,5.44,15.51,1.87,1.77
Sangrur,42709,9488,843,Cotton,939,Sandy Loam,Tanks,197,25,23,5769,Low,11428,7.29,21,34,105,15.55,0.62,26,19,27,0.35,29.36,2.52,7.84,5.02,1.8
Shaheed Bhagat Singh Nagar,60848,7628,2488,Sugarcane,542,Loam,Rain-fed,152,13,29,5722,Medium,27145,8.25,31,62,62,38.67,1.8,60,12,33,0.74,23.76,3.31,12.39,6.78,1.23
Tarn Taran,104284,5570,615,Rice,777,Sandy Loam,Tanks,200,37,28,4109,Low,24171,7.8,45,28,62,52.49,1.25,31,38,26,0.52,20.95,5.56,8.41,4.84,2.05
Amritsar,88176,3547,1982,Cotton,543,Clay,Rain-fed,143,14,27,4173,Medium,17639,7.29,39,25,56,30.71,2.2,64,44,26,1.47,22.19,1.57,16.14,2.04,0.89
Barnala,108965,5666,1244,Sugarcane,813,Loam,Tanks,236,30,29,5488,High,16115,8.33,40,38,100,46.07,2.59,59,18,40,1.34,18.81,4.18,12.89,3.21,0.71
Bathinda,40509,7553,779,Cotton,637,Calcareous,Tanks,150,16,29,5340,Medium,14669,8.09,56,39,70,51.28,2.48,63,29,23,2.86,29.46,2.72,10.74,3.95,2.58
Faridkot,51159,8827,1141,Cotton,474,Clay,Tube Wells,229,25,19,4715,Low,21646,8.6,28,74,71,38.14,1.24,46,32,22,2.03,23.29,3.19,7.06,1.24,2.44
Fatehgarh Sahib,51819,6055,2481,Rice,849,Clay,Tube Wells,120,18,15,5551,Medium,10353,7.33,28,47,103,15.71,1.91,49,36,25,0.58,12.34,2.57,13.92,2.25,1.66
Fazilka,88186,9275,2005,Rice,733,Loam,Tube Wells,239,24,29,4119,Low,32312,7.52,24,71,105,23.04,0.63,40,27,21,1.37,27.21,4.64,9.11,6.54,0.5
Ferozepur,78905,6877,1055,Sugarcane,600,Calcareous,Tanks,133,39,27,4908,Low,13704,7.83,59,59,66,47.98,1.24,39,29,38,1.12,22.86,1.75,4.81,6.73,0.98
Gurdaspur,63161,3763,1083,Cotton,564,Loam,Rain-fed,148,30,27,4964,High,23338,7.46,28,72,62,23.03,1.56,49,12,17,2.12,16.83,3.42,17.43,1.18,0.63
Hoshiarpur,71077,4672,2254,Maize,1178,Sandy Loam,Rain-fed,232,26,34,4107,Medium,17006,8.03,34,66,62,13.02,2.72,55,10,22,1.73,13.0,5.22,14.99,6.21,2.43
Jalandhar,107240,7925,860,Sugarcane,779,Clay,Tube Wells,129,14,12,5432,Low,13682,7.51,35,58,42,14.52,1.21,27,33,30,2.69,19.69,3.76,17.36,1.58,2.37
Kapurthala,35976,7483,1764,Rice,800,Loam,Rain-fed,155,14,15,5119,Low,23384,7.69,24,64,49,40.66,0.95,63,25,25,2.74,31.59,0.94,7.71,4.51,0.49
Ludhiana,106591,7616,1435,Cotton,1069,Alluvial,Tube Wells,185,17,17,5052,Medium,32846,7.86,29,25,84,47.86,0.7,50,10,30,1.15,19.5,5.22,10.93,3.67,2.52
Malerkotla,81973,7486,1564,Wheat,541,Sandy Loam,Tube Wells,159,27,21,5160,High,12792,8.1,40,52,94,13.78,2.07,50,24,34,2.9,20.95,4.45,7.46,4.36,2.29
Mansa,32671,4567,1059,Wheat,676,Loam,Canals,208,16,33,4984,Low,26419,7.08,27,34,106,48.18,2.39,39,27,32,1.81,29.36,4.08,12.31,6.33,0.45
Moga,69405,8466,2273,Rice,1137,Sandy Loam,Rain-fed,233,37,33,5689,Medium,13760,8.24,33,48,102,46.87,1.92,29,12,13,1.18,24.16,0.85,10.45,6.05,1.09
Muktsar Sahib,50817,2804,1275,Cotton,1184,Calcareous,Tanks,175,26,19,5647,High,11115,7.4,33,73,61,50.55,1.26,56,34,22,2.43,21.73,2.67,8.41,6.86,1.42
Pathankot,47399,2637,2253,Maize,675,Loam,Canals,160,33,31,5523,Low,31981,7.27,42,73,109,30.44,0.8,30,27,40,1.18,27.99,1.3,8.52,2.53,1.79
Patiala,31479,8830,1174,Cotton,1010,Calcareous,Rain-fed,142,35,22,4668,High,16795,7.93,24,36,43,25.2,0.89,51,40,14,0.55,16.42,3.76,10.76,4.75,1.14
Rupnagar,67439,3012,1977,Maize,668,Sandy Loam,Rain-fed,245,15,31,4619,High,17978,7.63,29,37,98,18.58,1.65,45,24,18,0.66,17.09,0.86,11.01,1.35,0.35
Sahibzada Ajit Singh Nagar,102876,3945,1721,Maize,1027,Loam,Canals,157,31,24,5957,High,30337,8.49,20,37,101,23.78,1.41,61,27,15,1.63,21.13,3.86,16.93,5.37,0.37
Sangrur,68762,8482,934,Maize,1102,Calcareous,Tanks,212,35,25,4687,High,14648,7.08,48,66,61,14.04,0.72,65,16,25,1.41,27.96,3.5,11.82,5.37,1.51
Shaheed Bhagat Singh Nagar,68024,5837,1316,Maize,851,Sandy Loam,Rain-fed,235,18,26,4319,Medium,32630,8.08,28,32,86,44.99,2.38,62,44,20,1.09,23.61,3.94,5.99,3.26,1.15
Tarn Taran,46201,8766,1397,Rice,465,Calcareous,Canals,148,22,25,4456,Medium,24464,7.64,27,73,108,18.91,1.9,36,29,32,2.97,24.9,2.34,15.16,4.98,0.66
Amritsar,94545,5856,1042,Cotton,836,Loam,Canals,184,40,30,5935,Medium,30833,8.4,59,70,71,48.56,1.74,46,40,33,2.62,31.25,4.31,8.36,6.87,0.99
Barnala,86032,9321,690,Sugarcane,934,Sandy Loam,Rain-fed,206,22,17,4646,Low,29645,7.41,35,73,107,24.76,1.52,27,22,16,2.29,28.57,2.08,17.4,6.94,0.58
Bathinda,39476,8175,1726,Maize,1006,Alluvial,Tanks,170,38,27,5606,Medium,20396,7.42,30,29,60,17.75,1.04,26,19,15,0.75,15.64,3.31,7.35,4.35,2.1
Faridkot,35281,9771,2497,Wheat,1151,Sandy Loam,Canals,120,14,29,5975,Low,31064,7.77,29,72,81,40.83,2.62,27,16,32,2.43,29.2,2.45,4.49,5.68,0.94
Fatehgarh Sahib,76365,6908,559,Sugarcane,713,Loam,Rain-fed,236,12,13,5544,High,12261,8.49,19,47,71,42.27,2.42,29,39,37,1.72,27.0,2.62,5.69,5.06,1.06
Fazilka,51489,8868,885,Cotton,773,Clay,Canals,225,35,19,4853,Low,24101,7.56,50,35,106,16.91,1.2,29,12,22,1.85,11.2,1.76,16.92,6.95,0.79
Ferozepur,109492,8182,685,Maize,540,Alluvial,Canals,185,33,18,4411,Medium,7149,7.5,51,35,44,45.6,2.13,57,41,39,1.88,25.71,2.46,15.67,5.59,2.41
Gurdaspur,119594,7005,2020,Sugarcane,850,Loam,Tanks,247,32,25,5468,Low,4859,7.33,42,75,80,35.52,1.02,43,30,11,2.19,20.35,4.82,14.93,2.93,0.64
Hoshiarpur,71592,9536,1293,Wheat,938,Sandy Loam,Canals,226,19,23,4697,Medium,13166,7.84,59,26,55,21.75,2.29,34,20,12,1.27,15.11,5.42,17.24,3.37,1.39
Jalandhar,73848,7537,608,Maize,886,Loam,Rain-fed,149,15,17,4685,High,21357,7.37,52,28,68,53.12,1.41,28,40,13,1.55,29.2,1.24,11.95,1.66,0.49
Kapurthala,117030,4788,1149,Wheat,799,Loam,Tanks,141,15,35,5540,Medium,15920,7.23,37,48,94,26.9,1.4,65,27,21,2.13,17.17,5.66,5.41,2.45,1.68
Ludhiana,72854,2336,1621,Cotton,460,Sandy Loam,Canals,151,33,30,4915,Low,23283,7.32,27,56,66,19.5,2.18,48,33,28,1.1,12.92,1.76,8.16,4.81,0.71
Malerkotla,34530,7452,1167,Cotton,1126,Alluvial,Rain-fed,124,32,31,5444,High,25032,8.7,12,72,93,26.74,1.96,51,38,32,2.19,19.95,0.96,13.04,4.18,1.14
Mansa,79368,8095,1561,Sugarcane,1169,Loam,Tanks,185,22,33,4216,Medium,15796,7.4,25,27,46,28.93,2.36,38,12,36,2.1,15.57,2.38,4.21,2.9,1.09
Moga,65477,5357,1969,Maize,367,Loam,Rain-fed,167,16,27,5200,High,21657,8.26,33,27,56,34.8,2.72,57,42,34,2.68,20.27,5.15,5.02,3.15,1.64
Muktsar Sahib,109989,8980,1999,Wheat,889,Clay,Canals,218,40,30,4446,Medium,27574,8.67,28,39,58,39.17,1.43,25,17,36,2.27,25.86,4.33,4.06,1.1,0.2
Pathankot,59705,5383,1265,Sugarcane,1061,Loam,Canals,136,15,15,4172,Medium,23239,7.07,59,56,54,44.59,2.28,56,25,11,2.62,31.24,2.22,14.24,4.26,1.12
Patiala,101824,2406,2326,Cotton,964,Calcareous,Tanks,249,32,30,4393,High,31772,7.02,16,45,84,41.17,2.34,63,18,18,2.31,31.25,2.93,4.97,5.15,1.61
Rupnagar,49758,4677,1132,Wheat,402,Clay,Tanks,205,13,28,5320,Medium,21638,7.23,34,38,91,52.12,2.7,38,24,28,1.97,24.52,4.34,15.6,1.39,1.19
Sahibzada Ajit Singh Nagar,118392,8963,1018,Cotton,645,Alluvial,Canals,224,38,32,5366,High,4494,8.4,29,50,62,53.91,0.97,35,25,33,1.44,14.74,5.01,5.71,2.3,2.36
Sangrur,32430,9178,1412,Cotton,871,Clay,Tube Wells,124,38,20,4836,High,5078,8.05,60,60,69,42.21,1.08,64,42,20,1.35,15.3,1.7,11.96,4.7,1.2
Shaheed Bhagat Singh Nagar,67850,9978,2403,Rice,899,Alluvial,Tanks,178,38,29,5380,Medium,12987,7.36,46,60,69,17.46,1.07,53,19,35,1.36,11.67,4.15,17.45,5.98,2.38
Tarn Taran,82369,5263,717,Cotton,391,Clay,Tube Wells,179,38,32,4480,Low,21644,7.62,53,56,65,54.56,2.26,31,30,38,1.55,25.83,4.02,13.51,6.87,0.48
Amritsar,84932,7987,1219,Sugarcane,563,Loam,Rain-fed,223,28,14,5919,High,26046,8.4,43,75,52,48.95,0.87,39,35,11,1.22,19.85,4.21,8.67,1.86,1.35
Barnala,97144,2546,711,Cotton,1020,Alluvial,Canals,204,29,14,5798,High,17223,8.37,28,60,91,36.69,1.97,25,20,26,2.36,31.44,2.69,8.01,3.57,0.8
Bathinda,59862,8433,941,Maize,628,Loam,Tube Wells,180,14,30,4024,High,9954,7.1,30,31,65,12.89,2.79,32,12,30,0.19,27.53,1.24,15.52,4.85,1.86
Faridkot,52826,5717,696,Cotton,993,Calcareous,Rain-fed,128,14,34,4128,High,12216,7.03,52,54,102,20.27,0.87,49,33,37,1.26,28.5,1.41,13.95,5.15,0.85
Fatehgarh Sahib,98697,5964,2106,Rice,701,Calcareous,Tube Wells,164,15,14,4275,Medium,7061,8.42,33,68,49,49.06,0.62,49,33,16,2.75,31.69,5.35,10.08,5.35,0.32
Fazilka,83251,3918,852,Maize,508,Alluvial,Tanks,210,39,30,5562,High,4765,7.57,25,40,58,47.39,2.08,60,26,11,1.52,26.99,1.38,17.91,3.56,2.27
Ferozepur,37152,4370,1024,Wheat,433,Clay,Tanks,157,32,18,5039,Low,20775,8.01,45,71,102,25.44,1.6,51,29,16,0.29,19.36,3.42,8.31,1.47,1.67
Gurdaspur,57808,5646,1041,Maize,1102,Alluvial,Tube Wells,215,12,13,5630,High,17981,8.26,28,45,65,54.51,2.7,64,25,38,0.84,30.48,4.18,14.83,6.97,0.37
Hoshiarpur,61688,4915,1770,Wheat,784,Clay,Tube Wells,194,21,20,5794,High,23563,7.52,23,40,92,50.47,0.69,50,32,12,2.48,22.29,1.06,8.98,3.41,2.0
Jalandhar,114909,2320,1684,Rice,396,Clay,Rain-fed,240,12,17,4630,Medium,9474,7.53,42,52,92,51.19,1.82,58,12,10,0.23,15.57,2.51,7.75,4.25,0.58
Kapurthala,64053,3723,1255,Cotton,651,Calcareous,Tanks,248,32,28,4262,Low,9758,7.51,29,46,86,28.49,2.49,38,15,39,2.86,28.01,1.38,13.83,3.24,1.29
Ludhiana,51474,8774,2324,Cotton,749,Clay,Canals,241,22,28,4188,Medium,18203,8.4,60,27,77,47.63,2.1,63,16,16,0.16,31.01,4.34,12.12,4.92,2.37
Malerkotla,104341,4740,1658,Rice,600,Calcareous,Tanks,134,36,28,4938,High,5098,8.53,46,51,70,36.45,1.66,30,11,20,1.41,12.82,1.05,8.07,5.63,2.32
Mansa,42315,9584,1465,Wheat,684,Sandy Loam,Tube Wells,200,18,34,4209,Medium,13338,7.17,35,68,75,15.69,0.71,42,41,11,1.71,16.22,3.26,4.67,5.58,1.56
Moga,86978,5254,972,Sugarcane,586,Alluvial,Tube Wells,124,29,30,4497,Medium,11857,8.43,45,55,82,16.31,1.34,58,16,39,1.27,19.13,3.53,15.07,3.85,1.86
Muktsar Sahib,30566,7276,2076,Sugarcane,658,Alluvial,Rain-fed,186,26,29,5278,Low,9633,7.89,27,53,96,40.4,2.77,34,32,27,2.97,12.06,2.46,12.85,3.39,2.12
Pathankot,104129,9592,1027,Rice,372,Alluvial,Tube Wells,241,21,28,4375,High,28582,8.29,26,62,78,29.9,1.49,46,36,12,1.14,12.75,1.75,7.98,3.53,2.51
Patiala,33763,5476,2082,Rice,1172,Loam,Tube Wells,213,12,30,4054,Medium,30176,7.27,20,68,79,29.31,1.81,51,14,19,1.87,25.52,2.31,11.62,2.25,0.41
Rupnagar,56481,5406,1135,Maize,439,Loam,Canals,203,18,31,4222,Low,10134,7.45,56,38,54,17.46,1.29,37,28,25,0.34,28.96,5.14,11.57,4.75,0.45
Sahibzada Ajit Singh Nagar,47269,3308,1563,Maize,793,Clay,Tube Wells,232,25,26,5962,Medium,31471,8.31,14,44,70,36.97,1.8,44,27,24,2.31,14.63,1.86,10.6,2.81,2.54
Sangrur,53559,9186,2242,Rice,727,Clay,Tube Wells,128,16,34,4339,High,23747,8.33,24,46,83,27.71,0.92,61,30,25,2.04,23.56,4.37,11.32,5.85,0.48
Shaheed Bhagat Singh Nagar,112478,3826,1943,Sugarcane,1190,Loam,Rain-fed,151,34,19,4861,Medium,16191,7.42,53,48,40,38.25,1.12,39,11,16,0.61,14.91,1.26,9.73,1.45,0.85
Tarn Taran,69383,5591,2349,Cotton,531,Calcareous,Tube Wells,226,34,27,5137,Low,17852,7.53,19,75,106,20.98,1.56,34,28,11,1.14,20.28,1.21,7.45,5.49,1.75
Amritsar,38030,7378,1147,Rice,381,Clay,Tanks,212,13,17,4028,High,17568,7.52,51,74,100,33.13,1.89,47,16,13,0.18,13.82,4.77,12.21,4.45,2.0
Barnala,63370,6145,1205,Maize,863,Loam,Canals,143,30,22,5745,Low,9137,7.16,30,58,109,24.7,2.63,46,25,30,0.4,25.13,2.75,7.92,6.52,1.3
Bathinda,54017,2722,1691,Cotton,977,Clay,Rain-fed,242,20,16,5517,High,21184,8.65,21,71,81,51.31,2.31,40,42,19,0.6,19.26,2.93,7.48,6.39,2.53
Faridkot,105989,4776,2377,Wheat,1049,Clay,Rain-fed,188,26,21,4241,High,22386,7.87,13,64,109,23.34,2.61,60,32,21,2.99,15.98,5.62,17.93,1.65,1.79
Fatehgarh Sahib,86443,5765,1256,Rice,1073,Loam,Canals,241,12,30,4810,Low,9737,8.17,23,52,45,15.76,2.64,28,36,24,1.75,26.72,3.01,4.92,2.12,1.9
Fazilka,49509,7829,1499,Cotton,423,Calcareous,Canals,138,34,17,5810,High,32930,8.35,26,40,89,28.62,1.71,64,29,13,0.24,20.11,2.75,10.75,3.23,1.16
Ferozepur,30422,9524,1962,Cotton,1150,Calcareous,Tanks,129,25,26,4278,Low,30757,7.84,23,49,59,38.31,1.17,31,43,10,1.69,18.79,2.31,10.18,4.6,2.52
Gurdaspur,114354,9692,956,Wheat,827,Calcareous,Tube Wells,193,33,17,4745,Low,18651,8.33,54,38,64,35.46,2.02,28,31,13,1.79,31.18,1.62,11.38,3.9,0.61
Hoshiarpur,34666,5784,1780,Cotton,411,Sandy Loam,Tube Wells,218,34,35,4798,Medium,30889,7.86,24,29,52,19.38,1.53,37,23,39,1.7,14.21,2.66,11.63,5.24,2.1
Jalandhar,95926,9019,1140,Cotton,591,Alluvial,Tanks,138,31,35,4828,Medium,14521,7.45,35,34,63,40.48,2.58,64,18,36,2.98,29.43,4.33,11.6,5.91,2.28
Kapurthala,81881,3597,1697,Maize,914,Sandy Loam,Rain-fed,169,38,29,5300,Low,29211,8.03,46,53,55,25.13,0.73,50,10,40,1.94,27.71,2.96,14.3,1.63,1.2
Ludhiana,88490,6610,1367,Cotton,880,Sandy Loam,Canals,217,33,13,5669,High,16354,7.31,12,40,72,20.75,1.25,34,22,20,2.05,12.31,3.15,17.33,2.07,0.56
Malerkotla,39702,9918,1078,Wheat,707,Calcareous,Rain-fed,123,29,22,4283,High,31843,7.76,51,57,83,24.67,1.51,57,20,30,0.61,19.67,3.99,4.6,3.1,2.25
Mansa,51710,5047,1843,Cotton,380,Loam,Canals,125,28,34,4448,Medium,13016,7.5,18,27,73,16.81,2.1,50,16,25,1.92,31.61,2.65,14.82,5.76,1.83
Moga,107100,5191,2198,Cotton,772,Loam,Rain-fed,152,29,23,5188,Low,20076,7.02,19,50,90,54.8,2.28,46,16,29,1.34,18.67,5.44,7.52,1.34,2.2
Muktsar Sahib,60581,6045,1095,Rice,702,Loam,Tanks,217,24,28,5477,High,8294,8.51,56,56,103,16.2,1.8,27,28,21,1.07,23.94,4.51,12.77,6.24,1.67
Pathankot,74737,3724,1042,Maize,456,Clay,Tanks,152,38,23,4598,Low,20108,8.54,39,65,51,15.4,0.91,45,18,28,1.46,17.58,3.62,5.71,6.27,2.42
Patiala,86972,8109,668,Rice,584,Sandy Loam,Tube Wells,241,39,33,4337,Low,8153,8.12,49,57,72,49.29,1.28,36,33,11,1.99,13.88,0.9,11.26,2.81,2.55
Rupnagar,47313,2495,1031,Cotton,1108,Calcareous,Tube Wells,206,35,25,5268,High,4508,7.28,26,54,51,29.43,1.26,39,16,22,2.29,31.31,3.68,5.84,5.63,2.5
Sahibzada Ajit Singh Nagar,92674,3416,1453,Wheat,858,Loam,Tanks,210,33,19,5263,Low,23046,7.59,29,56,72,54.9,0.74,53,21,24,1.14,12.62,2.57,6.96,1.11,1.57
Sangrur,110245,2475,953,Cotton,844,Calcareous,Canals,175,34,13,4020,Medium,8942,7.29,14,50,99,28.87,1.97,37,37,29,0.2,31.25,3.33,16.32,2.92,0.78
Shaheed Bhagat Singh Nagar,41926,9738,1376,Maize,924,Alluvial,Canals,248,35,26,5118,High,14901,8.57,32,38,58,40.16,2.34,31,30,39,0.22,20.0,3.55,7.36,5.1,0.51
Tarn Taran,78440,7624,570,Wheat,570,Loam,Tanks,170,36,16,5848,Medium,28154,8.53,40,61,58,32.7,1.29,27,34,38,1.89,13.52,5.68,11.24,6.21,0.26
Amritsar,95793,8316,1472,Wheat,1086,Calcareous,Canals,127,18,14,4507,Medium,4771,8.54,55,70,55,30.54,1.62,31,30,15,0.58,21.63,4.9,16.73,2.42,0.34
Barnala,50955,6845,2298,Cotton,582,Alluvial,Tanks,192,32,35,4086,Low,31259,7.6,34,47,68,21.51,2.34,31,28,40,0.97,15.15,1.47,7.17,6.38,0.96
Bathinda,60490,4855,1229,Wheat,483,Sandy Loam,Tube Wells,136,26,35,5175,High,14291,7.57,50,65,97,44.96,0.77,50,14,31,1.74,31.42,4.26,11.55,3.33,0.99
Faridkot,105088,9042,1653,Cotton,1149,Sandy Loam,Tube Wells,237,26,22,4185,High,27575,8.48,31,47,70,39.38,1.88,64,41,11,0.63,22.45,4.8,13.11,1.19,1.55
Fatehgarh Sahib,93522,9236,1407,Rice,475,Loam,Tanks,198,30,19,4140,Low,19040,7.86,33,50,48,34.48,1.71,46,20,29,2.36,14.57,2.69,8.56,6.84,2.41
Fazilka,57315,8933,946,Maize,832,Clay,Rain-fed,246,36,23,4195,Medium,13008,7.22,45,53,106,49.08,1.07,46,25,23,0.35,13.72,1.68,9.79,5.51,2.21
Ferozepur,43167,4160,1368,Cotton,360,Calcareous,Tube Wells,164,24,25,4989,Low,31622,7.53,60,56,83,17.38,2.56,50,34,32,0.24,15.44,5.69,7.49,4.34,2.17
Gurdaspur,87191,5506,1013,Sugarcane,743,Loam,Canals,130,27,13,5243,Medium,30195,7.11,38,45,99,40.31,0.99,41,26,26,0.16,15.94,2.64,11.1,1.6,1.74
Hoshiarpur,110135,3104,1110,Sugarcane,917,Calcareous,Tube Wells,153,38,13,4737,High,15018,7.85,18,57,84,16.07,1.26,30,28,39,2.18,16.48,4.76,6.16,1.36,1.71
Jalandhar,56434,8743,869,Sugarcane,964,Clay,Tanks,193,20,26,5288,Low,30126,7.73,59,43,76,41.37,2.02,45,32,19,2.99,21.8,4.55,7.62,3.7,1.49
Kapurthala,52751,4757,1485,Cotton,438,Clay,Rain-fed,187,12,20,5604,High,30127,8.29,23,25,85,19.8,1.64,27,26,17,1.14,19.84,3.51,10.86,6.38,1.63
Ludhiana,47644,2795,570,Cotton,468,Loam,Rain-fed,189,15,18,4070,Low,29070,7.63,33,28,79,40.21,0.82,39,13,29,0.91,12.59,2.76,17.9,2.61,1.58
Malerkotla,92313,5080,1684,Cotton,726,Sandy Loam,Canals,241,40,21,4917,Medium,15882,7.36,35,59,102,34.82,0.73,29,44,40,1.03,27.57,5.14,9.91,3.15,0.59
Mansa,62560,4364,900,Rice,1180,Calcareous,Tube Wells,128,29,33,4897,Low,12508,8.64,36,40,49,24.87,2.55,62,19,23,2.51,19.71,3.22,13.14,2.2,0.44
Moga,52594,2745,894,Sugarcane,776,Calcareous,Tanks,205,32,19,5022,Low,10954,7.89,56,51,70,32.5,1.44,41,10,35,2.06,31.22,5.09,5.14,5.85,2.46
Muktsar Sahib,119981,2512,2260,Cotton,457,Loam,Canals,244,20,33,4268,Low,16482,8.54,35,58,85,51.43,2.11,25,28,19,2.06,14.11,4.39,8.5,4.09,1.47
Pathankot,63623,9074,1461,Maize,547,Clay,Tube Wells,139,30,28,4832,High,30024,7.59,32,72,86,25.51,2.7,27,43,14,2.62,28.86,5.35,12.8,5.9,2.03
Patiala,51999,4350,2489,Maize,528,Calcareous,Canals,196,20,29,4191,Medium,5684,7.19,25,53,57,31.83,2.62,27,14,12,2.31,30.92,3.78,4.04,2.72,1.88
Rupnagar,115389,9525,2205,Sugarcane,793,Clay,Canals,184,31,25,4825,Medium,26532,7.33,13,53,93,26.44,1.57,35,33,20,2.71,13.21,2.39,6.0,6.19,1.02
Sahibzada Ajit Singh Nagar,97610,3387,518,Wheat,727,Loam,Tanks,158,32,12,5394,High,9322,8.34,36,63,82,41.99,1.48,27,41,38,2.23,15.94,4.76,5.81,4.01,0.34
Sangrur,118113,9103,1552,Sugarcane,826,Clay,Tube Wells,172,38,15,4195,High,28179,8.7,58,50,98,26.8,0.68,41,43,23,0.47,11.1,2.98,13.95,1.88,1.52
Shaheed Bhagat Singh Nagar,96125,4398,1382,Maize,602,Calcareous,Rain-fed,205,18,29,5419,High,8570,8.43,12,38,97,41.59,1.09,58,39,33,2.43,16.34,1.58,8.02,3.94,1.36
Tarn Taran,101201,7314,1205,Cotton,1160,Clay,Tanks,134,32,17,4878,High,32744,7.27,35,69,97,28.78,1.73,33,14,38,1.25,28.12,1.25,8.98,4.84,0.73
Amritsar,40125,4335,2463,Cotton,524,Loam,Tanks,139,21,33,5506,Low,17738,7.93,44,68,62,15.08,2.75,32,14,10,1.95,26.4,4.27,7.73,4.41,1.98
Barnala,60767,5924,604,Wheat,1134,Alluvial,Tanks,247,14,18,4644,High,9779,7.27,48,36,53,34.85,2.51,35,43,14,0.81,15.49,3.67,7.15,6.17,2.16
Bathinda,61523,3161,1569,Wheat,634,Calcareous,Rain-fed,122,26,22,5006,High,26168,7.62,32,72,82,28.31,1.49,34,37,22,2.7,22.49,2.87,6.63,1.08,1.58
Faridkot,98745,5870,1292,Wheat,690,Clay,Rain-fed,206,37,33,5657,Low,5231,7.06,19,45,98,44.72,1.16,47,18,25,1.94,31.54,1.07,6.49,5.41,1.22
Fatehgarh Sahib,59723,6960,2435,Maize,952,Alluvial,Tube Wells,141,34,34,4126,High,29050,8.61,28,72,110,45.44,1.75,53,32,30,0.67,18.01,1.0,4.61,2.75,1.12
Fazilka,85180,7204,1765,Sugarcane,1118,Clay,Tube Wells,225,20,16,4010,Low,24408,7.33,14,30,109,28.47,2.4,25,35,28,0.21,18.65,1.08,4.07,1.38,2.2
Ferozepur,81829,9093,782,Wheat,829,Loam,Tanks,127,16,12,4360,Medium,21424,7.48,51,63,85,16.22,2.76,37,35,19,1.05,13.87,3.79,9.88,1.73,0.44
Gurdaspur,98730,8515,1254,Rice,467,Loam,Tanks,185,40,22,5652,Medium,7789,7.6,50,74,42,46.87,0.87,54,43,37,0.31,21.3,5.04,7.35,3.79,1.76
Hoshiarpur,103584,4653,640,Cotton,355,Calcareous,Tanks,127,13,31,5521,Medium,12740,8.08,43,25,98,52.76,2.42,63,31,30,1.37,11.03,0.94,8.76,6.18,0.25
Jalandhar,39500,3941,2494,Cotton,378,Loam,Tube Wells,182,38,30,4006,High,26873,7.92,18,47,60,18.97,0.92,35,24,28,2.09,28.35,2.8,12.11,1.47,2.59
Kapurthala,61669,5438,1036,Wheat,930,Alluvial,Rain-fed,127,24,34,4814,Low,25726,7.21,46,61,40,32.67,2.31,31,22,11,1.39,12.8,4.99,7.27,3.58,1.45
Ludhiana,62833,6644,2352,Rice,478,Sandy Loam,Canals,149,39,25,4560,Medium,10516,7.74,45,50,99,17.94,1.55,59,41,10,0.53,11.02,1.38,16.64,5.36,2.36
Malerkotla,72472,2281,1285,Wheat,1156,Loam,Rain-fed,186,16,21,5962,Medium,15332,7.69,17,33,59,14.04,2.43,37,38,39,1.44,26.35,1.58,8.64,5.8,1.58
Mansa,104001,9352,790,Rice,409,Calcareous,Rain-fed,128,27,26,4227,High,20351,7.76,14,58,66,42.37,1.0,41,25,30,1.41,20.47,4.78,9.37,4.34,0.85
Moga,73802,3274,779,Sugarcane,912,Clay,Canals,143,16,19,4015,Low,13982,7.95,52,25,67,25.45,1.69,59,32,27,0.42,25.21,4.04,11.74,6.96,0.48
